Location,Status,Prosto,Na voljo,Datum
PH Rog,Prosto,27,80,2025-03-29 01:28
P+R Letališka,Odprto,,,2025-03-29 01:28
Parkirišče PH Ilirija,Odprto,,,2025-03-29 01:28
Bežigrad,Prosto,43,64,2025-03-29 01:44
Dolenjska cesta (Strelišče),Prosto,76,67,2025-03-29 01:44
Gosarjeva ulica,Prosto,47,190,2025-03-29 01:44
Gospodarsko razstavišče,Prosto,349,400,2025-03-29 01:44
Komanova ulica,Zasedeno,/,55,2025-03-29 01:44
PH Kongresni trg,Prosto,219,720,2025-03-29 01:44
Kozolec,Prosto,111,394,2025-03-29 01:44
Kranjčeva ulica,Prosto,104,117,2025-03-29 01:44
Linhartova,Prosto,111,50,2025-03-29 01:44
Metelkova ulica,Prosto,27,89,2025-03-29 01:44
Mirje,Prosto,73,107,2025-03-29 01:44
P+R Barje,Odprto,,,2025-03-29 01:44
P+R Dolgi Most,Odprto,,,2025-03-29 01:44
P+R Studenec,Odprto,,,2025-03-29 01:44
PH Kolezija,Prosto,64,80,2025-03-29 01:44
Pokopališče Polje,Prosto,38,39,2025-03-29 01:44
Povšetova ulica,Prosto,67,81,2025-03-29 01:44
Sanatorij Emona,Prosto,9,25,2025-03-29 01:44
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 01:44
Tivoli I.,Prosto,309,351,2025-03-29 01:44
Tivoli II.,Prosto,170,159,2025-03-29 01:44
Trg mladinskih delovnih brigad,Zasedeno,0,26,2025-03-29 01:44
Trg prekomorskih brigad,Prosto,31,61,2025-03-29 01:44
Štembalova ulica,Zasedeno,/,155,2025-03-29 01:44
Žale I.,Prosto,79,125,2025-03-29 01:44
Žale II.,Prosto,53,80,2025-03-29 01:44
Žale III.,Prosto,49,83,2025-03-29 01:44
Žale IV.,Prosto,78,78,2025-03-29 01:44
Žale V.,Prosto,279,100,2025-03-29 01:44
P+R Ježica,Odprto,,,2025-03-29 01:44
P+R Stanežiče,Odprto,,,2025-03-29 01:44
ŠRC Stožice,Prosto,/,509,2025-03-29 01:44
Tacen,Prosto,/,/,2025-03-29 01:44
Bratislavska,Prosto,/,/,2025-03-29 01:44
BS4,Prosto,57,100,2025-03-29 01:44
PH Rog,Prosto,27,80,2025-03-29 01:44
P+R Letališka,Odprto,,,2025-03-29 01:44
Parkirišče PH Ilirija,Odprto,,,2025-03-29 01:44
Bežigrad,Prosto,44,64,2025-03-29 01:58
Dolenjska cesta (Strelišče),Prosto,77,67,2025-03-29 01:58
Gosarjeva ulica,Prosto,47,190,2025-03-29 01:58
Gospodarsko razstavišče,Prosto,352,400,2025-03-29 01:58
Komanova ulica,Zasedeno,/,55,2025-03-29 01:58
PH Kongresni trg,Prosto,222,720,2025-03-29 01:58
Kozolec,Prosto,112,394,2025-03-29 01:58
Kranjčeva ulica,Prosto,104,117,2025-03-29 01:58
Linhartova,Prosto,111,50,2025-03-29 01:58
Metelkova ulica,Prosto,28,89,2025-03-29 01:58
Mirje,Prosto,73,107,2025-03-29 01:58
P+R Barje,Odprto,,,2025-03-29 01:58
P+R Dolgi Most,Odprto,,,2025-03-29 01:58
P+R Studenec,Odprto,,,2025-03-29 01:58
PH Kolezija,Prosto,64,80,2025-03-29 01:58
Pokopališče Polje,Prosto,38,39,2025-03-29 01:58
Povšetova ulica,Prosto,67,81,2025-03-29 01:58
Sanatorij Emona,Prosto,9,25,2025-03-29 01:58
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 01:58
Tivoli I.,Prosto,309,351,2025-03-29 01:58
Tivoli II.,Prosto,170,159,2025-03-29 01:58
Trg mladinskih delovnih brigad,Zasedeno,0,26,2025-03-29 01:58
Trg prekomorskih brigad,Prosto,31,61,2025-03-29 01:58
Štembalova ulica,Zasedeno,/,155,2025-03-29 01:58
Žale I.,Prosto,79,125,2025-03-29 01:58
Žale II.,Prosto,53,80,2025-03-29 01:58
Žale III.,Prosto,49,83,2025-03-29 01:58
Žale IV.,Prosto,78,78,2025-03-29 01:58
Žale V.,Prosto,279,100,2025-03-29 01:58
P+R Ježica,Odprto,,,2025-03-29 01:58
P+R Stanežiče,Odprto,,,2025-03-29 01:58
ŠRC Stožice,Prosto,/,509,2025-03-29 01:58
Tacen,Prosto,/,/,2025-03-29 01:58
Bratislavska,Prosto,/,/,2025-03-29 01:58
BS4,Prosto,57,100,2025-03-29 01:58
PH Rog,Prosto,27,80,2025-03-29 01:58
P+R Letališka,Odprto,,,2025-03-29 01:58
Parkirišče PH Ilirija,Odprto,,,2025-03-29 01:58
Bežigrad,Prosto,44,64,2025-03-29 02:14
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 02:14
Gosarjeva ulica,Prosto,47,190,2025-03-29 02:14
Gospodarsko razstavišče,Prosto,367,400,2025-03-29 02:14
Komanova ulica,Zasedeno,/,55,2025-03-29 02:14
PH Kongresni trg,Prosto,225,720,2025-03-29 02:14
Kozolec,Prosto,113,394,2025-03-29 02:14
Kranjčeva ulica,Prosto,106,117,2025-03-29 02:14
Linhartova,Prosto,113,50,2025-03-29 02:14
Metelkova ulica,Prosto,28,89,2025-03-29 02:14
Mirje,Prosto,74,107,2025-03-29 02:14
P+R Barje,Odprto,,,2025-03-29 02:14
P+R Dolgi Most,Odprto,,,2025-03-29 02:14
P+R Studenec,Odprto,,,2025-03-29 02:14
PH Kolezija,Prosto,64,80,2025-03-29 02:14
Pokopališče Polje,Prosto,38,39,2025-03-29 02:14
Povšetova ulica,Prosto,67,81,2025-03-29 02:14
Sanatorij Emona,Prosto,9,25,2025-03-29 02:14
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 02:14
Tivoli I.,Prosto,311,351,2025-03-29 02:14
Tivoli II.,Prosto,170,159,2025-03-29 02:14
Trg mladinskih delovnih brigad,Zasedeno,0,26,2025-03-29 02:14
Trg prekomorskih brigad,Prosto,35,61,2025-03-29 02:14
Štembalova ulica,Zasedeno,/,155,2025-03-29 02:14
Žale I.,Prosto,79,125,2025-03-29 02:14
Žale II.,Prosto,53,80,2025-03-29 02:14
Žale III.,Prosto,49,83,2025-03-29 02:14
Žale IV.,Prosto,78,78,2025-03-29 02:14
Žale V.,Prosto,279,100,2025-03-29 02:14
P+R Ježica,Odprto,,,2025-03-29 02:14
P+R Stanežiče,Odprto,,,2025-03-29 02:14
ŠRC Stožice,Prosto,/,509,2025-03-29 02:14
Tacen,Prosto,/,/,2025-03-29 02:14
Bratislavska,Prosto,/,/,2025-03-29 02:14
BS4,Prosto,57,100,2025-03-29 02:14
PH Rog,Prosto,27,80,2025-03-29 02:14
P+R Letališka,Odprto,,,2025-03-29 02:14
Parkirišče PH Ilirija,Odprto,,,2025-03-29 02:14
Bežigrad,Prosto,44,64,2025-03-29 02:28
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 02:28
Gosarjeva ulica,Prosto,47,190,2025-03-29 02:28
Gospodarsko razstavišče,Prosto,375,400,2025-03-29 02:28
Komanova ulica,Zasedeno,/,55,2025-03-29 02:28
PH Kongresni trg,Prosto,232,720,2025-03-29 02:28
Kozolec,Prosto,113,394,2025-03-29 02:28
Kranjčeva ulica,Prosto,105,117,2025-03-29 02:28
Linhartova,Prosto,114,50,2025-03-29 02:28
Metelkova ulica,Prosto,28,89,2025-03-29 02:28
Mirje,Prosto,74,107,2025-03-29 02:28
P+R Barje,Odprto,,,2025-03-29 02:28
P+R Dolgi Most,Odprto,,,2025-03-29 02:28
P+R Studenec,Odprto,,,2025-03-29 02:28
PH Kolezija,Prosto,64,80,2025-03-29 02:28
Pokopališče Polje,Prosto,38,39,2025-03-29 02:28
Povšetova ulica,Prosto,67,81,2025-03-29 02:28
Sanatorij Emona,Prosto,9,25,2025-03-29 02:28
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 02:28
Tivoli I.,Prosto,311,351,2025-03-29 02:28
Tivoli II.,Prosto,170,159,2025-03-29 02:28
Trg mladinskih delovnih brigad,Skoraj polno,4,26,2025-03-29 02:28
Trg prekomorskih brigad,Prosto,35,61,2025-03-29 02:28
Štembalova ulica,Zasedeno,/,155,2025-03-29 02:28
Žale I.,Prosto,79,125,2025-03-29 02:28
Žale II.,Prosto,53,80,2025-03-29 02:28
Žale III.,Prosto,49,83,2025-03-29 02:28
Žale IV.,Prosto,78,78,2025-03-29 02:28
Žale V.,Prosto,279,100,2025-03-29 02:28
P+R Ježica,Odprto,,,2025-03-29 02:28
P+R Stanežiče,Odprto,,,2025-03-29 02:28
ŠRC Stožice,Prosto,/,509,2025-03-29 02:28
Tacen,Prosto,/,/,2025-03-29 02:28
Bratislavska,Prosto,/,/,2025-03-29 02:28
BS4,Prosto,57,100,2025-03-29 02:28
PH Rog,Prosto,27,80,2025-03-29 02:28
P+R Letališka,Odprto,,,2025-03-29 02:28
Parkirišče PH Ilirija,Odprto,,,2025-03-29 02:28
Bežigrad,Prosto,45,64,2025-03-29 02:44
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 02:44
Gosarjeva ulica,Prosto,47,190,2025-03-29 02:44
Gospodarsko razstavišče,Prosto,376,400,2025-03-29 02:44
Komanova ulica,Zasedeno,/,55,2025-03-29 02:44
PH Kongresni trg,Prosto,236,720,2025-03-29 02:44
Kozolec,Prosto,114,394,2025-03-29 02:44
Kranjčeva ulica,Prosto,105,117,2025-03-29 02:44
Linhartova,Prosto,114,50,2025-03-29 02:44
Metelkova ulica,Prosto,28,89,2025-03-29 02:44
Mirje,Prosto,73,107,2025-03-29 02:44
P+R Barje,Odprto,,,2025-03-29 02:44
P+R Dolgi Most,Odprto,,,2025-03-29 02:44
P+R Studenec,Odprto,,,2025-03-29 02:44
PH Kolezija,Prosto,64,80,2025-03-29 02:44
Pokopališče Polje,Prosto,38,39,2025-03-29 02:44
Povšetova ulica,Prosto,67,81,2025-03-29 02:44
Sanatorij Emona,Prosto,9,25,2025-03-29 02:44
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 02:44
Tivoli I.,Prosto,311,351,2025-03-29 02:44
Tivoli II.,Prosto,169,159,2025-03-29 02:44
Trg mladinskih delovnih brigad,Skoraj polno,5,26,2025-03-29 02:44
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 02:44
Štembalova ulica,Zasedeno,/,155,2025-03-29 02:44
Žale I.,Prosto,79,125,2025-03-29 02:44
Žale II.,Prosto,53,80,2025-03-29 02:44
Žale III.,Prosto,49,83,2025-03-29 02:44
Žale IV.,Prosto,78,78,2025-03-29 02:44
Žale V.,Prosto,279,100,2025-03-29 02:44
P+R Ježica,Odprto,,,2025-03-29 02:44
P+R Stanežiče,Odprto,,,2025-03-29 02:44
ŠRC Stožice,Prosto,/,509,2025-03-29 02:44
Tacen,Prosto,/,/,2025-03-29 02:44
Bratislavska,Prosto,/,/,2025-03-29 02:44
BS4,Prosto,57,100,2025-03-29 02:44
PH Rog,Prosto,27,80,2025-03-29 02:44
P+R Letališka,Odprto,,,2025-03-29 02:44
Parkirišče PH Ilirija,Odprto,,,2025-03-29 02:44
Bežigrad,Prosto,47,64,2025-03-29 02:58
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 02:58
Gosarjeva ulica,Prosto,47,190,2025-03-29 02:58
Gospodarsko razstavišče,Prosto,380,400,2025-03-29 02:58
Komanova ulica,Zasedeno,/,55,2025-03-29 02:58
PH Kongresni trg,Prosto,235,720,2025-03-29 02:58
Kozolec,Prosto,114,394,2025-03-29 02:58
Kranjčeva ulica,Prosto,105,117,2025-03-29 02:58
Linhartova,Prosto,114,50,2025-03-29 02:58
Metelkova ulica,Prosto,29,89,2025-03-29 02:58
Mirje,Prosto,74,107,2025-03-29 02:58
P+R Barje,Odprto,,,2025-03-29 02:58
P+R Dolgi Most,Odprto,,,2025-03-29 02:58
P+R Studenec,Odprto,,,2025-03-29 02:58
PH Kolezija,Prosto,64,80,2025-03-29 02:58
Pokopališče Polje,Prosto,38,39,2025-03-29 02:58
Povšetova ulica,Prosto,67,81,2025-03-29 02:58
Sanatorij Emona,Prosto,9,25,2025-03-29 02:58
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 02:58
Tivoli I.,Prosto,311,351,2025-03-29 02:58
Tivoli II.,Prosto,170,159,2025-03-29 02:58
Trg mladinskih delovnih brigad,Skoraj polno,5,26,2025-03-29 02:58
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 02:58
Štembalova ulica,Zasedeno,/,155,2025-03-29 02:58
Žale I.,Prosto,79,125,2025-03-29 02:58
Žale II.,Prosto,53,80,2025-03-29 02:58
Žale III.,Prosto,49,83,2025-03-29 02:58
Žale IV.,Prosto,78,78,2025-03-29 02:58
Žale V.,Prosto,279,100,2025-03-29 02:58
P+R Ježica,Odprto,,,2025-03-29 02:58
P+R Stanežiče,Odprto,,,2025-03-29 02:58
ŠRC Stožice,Prosto,/,509,2025-03-29 02:58
Tacen,Prosto,/,/,2025-03-29 02:58
Bratislavska,Prosto,/,/,2025-03-29 02:58
BS4,Prosto,57,100,2025-03-29 02:58
PH Rog,Prosto,27,80,2025-03-29 02:58
P+R Letališka,Odprto,,,2025-03-29 02:58
Parkirišče PH Ilirija,Odprto,,,2025-03-29 02:58
Bežigrad,Prosto,48,64,2025-03-29 03:14
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 03:14
Gosarjeva ulica,Prosto,47,190,2025-03-29 03:14
Gospodarsko razstavišče,Prosto,394,400,2025-03-29 03:14
Komanova ulica,Zasedeno,/,55,2025-03-29 03:14
PH Kongresni trg,Prosto,238,720,2025-03-29 03:14
Kozolec,Prosto,116,394,2025-03-29 03:14
Kranjčeva ulica,Prosto,105,117,2025-03-29 03:14
Linhartova,Prosto,114,50,2025-03-29 03:14
Metelkova ulica,Prosto,29,89,2025-03-29 03:14
Mirje,Prosto,75,107,2025-03-29 03:14
P+R Barje,Odprto,,,2025-03-29 03:14
P+R Dolgi Most,Odprto,,,2025-03-29 03:14
P+R Studenec,Odprto,,,2025-03-29 03:14
PH Kolezija,Prosto,64,80,2025-03-29 03:14
Pokopališče Polje,Prosto,38,39,2025-03-29 03:14
Povšetova ulica,Prosto,67,81,2025-03-29 03:14
Sanatorij Emona,Prosto,9,25,2025-03-29 03:14
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 03:14
Tivoli I.,Prosto,311,351,2025-03-29 03:14
Tivoli II.,Prosto,170,159,2025-03-29 03:14
Trg mladinskih delovnih brigad,Prosto,7,26,2025-03-29 03:14
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 03:14
Štembalova ulica,Zasedeno,/,155,2025-03-29 03:14
Žale I.,Prosto,79,125,2025-03-29 03:14
Žale II.,Prosto,53,80,2025-03-29 03:14
Žale III.,Prosto,49,83,2025-03-29 03:14
Žale IV.,Prosto,78,78,2025-03-29 03:14
Žale V.,Prosto,279,100,2025-03-29 03:14
P+R Ježica,Odprto,,,2025-03-29 03:14
P+R Stanežiče,Odprto,,,2025-03-29 03:14
ŠRC Stožice,Prosto,/,509,2025-03-29 03:14
Tacen,Prosto,/,/,2025-03-29 03:14
Bratislavska,Prosto,/,/,2025-03-29 03:14
BS4,Prosto,57,100,2025-03-29 03:14
PH Rog,Prosto,27,80,2025-03-29 03:14
P+R Letališka,Odprto,,,2025-03-29 03:14
Parkirišče PH Ilirija,Odprto,,,2025-03-29 03:14
Bežigrad,Prosto,49,64,2025-03-29 03:28
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 03:28
Gosarjeva ulica,Prosto,47,190,2025-03-29 03:28
Gospodarsko razstavišče,Prosto,403,400,2025-03-29 03:28
Komanova ulica,Zasedeno,/,55,2025-03-29 03:28
PH Kongresni trg,Prosto,244,720,2025-03-29 03:28
Kozolec,Prosto,117,394,2025-03-29 03:28
Kranjčeva ulica,Prosto,105,117,2025-03-29 03:28
Linhartova,Prosto,114,50,2025-03-29 03:28
Metelkova ulica,Prosto,29,89,2025-03-29 03:28
Mirje,Prosto,89,107,2025-03-29 03:28
P+R Barje,Odprto,,,2025-03-29 03:28
P+R Dolgi Most,Odprto,,,2025-03-29 03:28
P+R Studenec,Odprto,,,2025-03-29 03:28
PH Kolezija,Prosto,64,80,2025-03-29 03:28
Pokopališče Polje,Prosto,38,39,2025-03-29 03:28
Povšetova ulica,Prosto,77,81,2025-03-29 03:28
Sanatorij Emona,Prosto,9,25,2025-03-29 03:28
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 03:28
Tivoli I.,Prosto,311,351,2025-03-29 03:28
Tivoli II.,Prosto,170,159,2025-03-29 03:28
Trg mladinskih delovnih brigad,Prosto,6,26,2025-03-29 03:28
Trg prekomorskih brigad,Prosto,38,61,2025-03-29 03:28
Štembalova ulica,Zasedeno,/,155,2025-03-29 03:28
Žale I.,Prosto,79,125,2025-03-29 03:28
Žale II.,Prosto,53,80,2025-03-29 03:28
Žale III.,Prosto,49,83,2025-03-29 03:28
Žale IV.,Prosto,78,78,2025-03-29 03:28
Žale V.,Prosto,279,100,2025-03-29 03:28
P+R Ježica,Odprto,,,2025-03-29 03:28
P+R Stanežiče,Odprto,,,2025-03-29 03:28
ŠRC Stožice,Prosto,/,509,2025-03-29 03:28
Tacen,Prosto,/,/,2025-03-29 03:28
Bratislavska,Prosto,/,/,2025-03-29 03:28
BS4,Prosto,57,100,2025-03-29 03:28
PH Rog,Prosto,27,80,2025-03-29 03:28
P+R Letališka,Odprto,,,2025-03-29 03:28
Parkirišče PH Ilirija,Odprto,,,2025-03-29 03:28
Bežigrad,Prosto,49,64,2025-03-29 03:44
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 03:44
Gosarjeva ulica,Prosto,47,190,2025-03-29 03:44
Gospodarsko razstavišče,Prosto,415,400,2025-03-29 03:44
Komanova ulica,Zasedeno,/,55,2025-03-29 03:44
PH Kongresni trg,Prosto,248,720,2025-03-29 03:44
Kozolec,Prosto,118,394,2025-03-29 03:44
Kranjčeva ulica,Prosto,105,117,2025-03-29 03:44
Linhartova,Prosto,114,50,2025-03-29 03:44
Metelkova ulica,Prosto,32,89,2025-03-29 03:44
Mirje,Prosto,91,107,2025-03-29 03:44
P+R Barje,Odprto,,,2025-03-29 03:44
P+R Dolgi Most,Odprto,,,2025-03-29 03:44
P+R Studenec,Odprto,,,2025-03-29 03:44
PH Kolezija,Prosto,64,80,2025-03-29 03:44
Pokopališče Polje,Prosto,38,39,2025-03-29 03:44
Povšetova ulica,Prosto,77,81,2025-03-29 03:44
Sanatorij Emona,Prosto,9,25,2025-03-29 03:44
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 03:44
Tivoli I.,Prosto,311,351,2025-03-29 03:44
Tivoli II.,Prosto,170,159,2025-03-29 03:44
Trg mladinskih delovnih brigad,Prosto,11,26,2025-03-29 03:44
Trg prekomorskih brigad,Prosto,38,61,2025-03-29 03:44
Štembalova ulica,Zasedeno,/,155,2025-03-29 03:44
Žale I.,Prosto,79,125,2025-03-29 03:44
Žale II.,Prosto,53,80,2025-03-29 03:44
Žale III.,Prosto,49,83,2025-03-29 03:44
Žale IV.,Prosto,78,78,2025-03-29 03:44
Žale V.,Prosto,279,100,2025-03-29 03:44
P+R Ježica,Odprto,,,2025-03-29 03:44
P+R Stanežiče,Odprto,,,2025-03-29 03:44
ŠRC Stožice,Prosto,/,509,2025-03-29 03:44
Tacen,Prosto,/,/,2025-03-29 03:44
Bratislavska,Prosto,/,/,2025-03-29 03:44
BS4,Prosto,57,100,2025-03-29 03:44
PH Rog,Prosto,27,80,2025-03-29 03:44
P+R Letališka,Odprto,,,2025-03-29 03:44
Parkirišče PH Ilirija,Odprto,,,2025-03-29 03:44
Bežigrad,Prosto,49,64,2025-03-29 03:58
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 03:58
Gosarjeva ulica,Prosto,47,190,2025-03-29 03:58
Gospodarsko razstavišče,Prosto,420,400,2025-03-29 03:58
Komanova ulica,Zasedeno,/,55,2025-03-29 03:58
PH Kongresni trg,Prosto,250,720,2025-03-29 03:58
Kozolec,Prosto,119,394,2025-03-29 03:58
Kranjčeva ulica,Prosto,105,117,2025-03-29 03:58
Linhartova,Prosto,114,50,2025-03-29 03:58
Metelkova ulica,Prosto,33,89,2025-03-29 03:58
Mirje,Prosto,91,107,2025-03-29 03:58
P+R Barje,Odprto,,,2025-03-29 03:58
P+R Dolgi Most,Odprto,,,2025-03-29 03:58
P+R Studenec,Odprto,,,2025-03-29 03:58
PH Kolezija,Prosto,64,80,2025-03-29 03:58
Pokopališče Polje,Prosto,38,39,2025-03-29 03:58
Povšetova ulica,Prosto,77,81,2025-03-29 03:58
Sanatorij Emona,Prosto,9,25,2025-03-29 03:58
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 03:58
Tivoli I.,Prosto,310,351,2025-03-29 03:58
Tivoli II.,Prosto,170,159,2025-03-29 03:58
Trg mladinskih delovnih brigad,Prosto,11,26,2025-03-29 03:58
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 03:58
Štembalova ulica,Zasedeno,/,155,2025-03-29 03:58
Žale I.,Prosto,79,125,2025-03-29 03:58
Žale II.,Prosto,53,80,2025-03-29 03:58
Žale III.,Prosto,49,83,2025-03-29 03:58
Žale IV.,Prosto,78,78,2025-03-29 03:58
Žale V.,Prosto,279,100,2025-03-29 03:58
P+R Ježica,Odprto,,,2025-03-29 03:58
P+R Stanežiče,Odprto,,,2025-03-29 03:58
ŠRC Stožice,Prosto,/,509,2025-03-29 03:58
Tacen,Prosto,/,/,2025-03-29 03:58
Bratislavska,Prosto,/,/,2025-03-29 03:58
BS4,Prosto,57,100,2025-03-29 03:58
PH Rog,Prosto,27,80,2025-03-29 03:58
P+R Letališka,Odprto,,,2025-03-29 03:58
Parkirišče PH Ilirija,Odprto,,,2025-03-29 03:58
Bežigrad,Prosto,49,64,2025-03-29 04:14
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 04:14
Gosarjeva ulica,Prosto,47,190,2025-03-29 04:14
Gospodarsko razstavišče,Prosto,424,400,2025-03-29 04:14
Komanova ulica,Zasedeno,/,55,2025-03-29 04:14
PH Kongresni trg,Prosto,252,720,2025-03-29 04:14
Kozolec,Prosto,122,394,2025-03-29 04:14
Kranjčeva ulica,Prosto,105,117,2025-03-29 04:14
Linhartova,Prosto,114,50,2025-03-29 04:14
Metelkova ulica,Prosto,33,89,2025-03-29 04:14
Mirje,Prosto,91,107,2025-03-29 04:14
P+R Barje,Odprto,,,2025-03-29 04:14
P+R Dolgi Most,Odprto,,,2025-03-29 04:14
P+R Studenec,Odprto,,,2025-03-29 04:14
PH Kolezija,Prosto,64,80,2025-03-29 04:14
Pokopališče Polje,Prosto,38,39,2025-03-29 04:14
Povšetova ulica,Prosto,77,81,2025-03-29 04:14
Sanatorij Emona,Prosto,9,25,2025-03-29 04:14
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 04:14
Tivoli I.,Prosto,330,351,2025-03-29 04:14
Tivoli II.,Prosto,160,159,2025-03-29 04:14
Trg mladinskih delovnih brigad,Prosto,14,26,2025-03-29 04:14
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 04:14
Štembalova ulica,Zasedeno,/,155,2025-03-29 04:14
Žale I.,Prosto,79,125,2025-03-29 04:14
Žale II.,Prosto,53,80,2025-03-29 04:14
Žale III.,Prosto,49,83,2025-03-29 04:14
Žale IV.,Prosto,78,78,2025-03-29 04:14
Žale V.,Prosto,279,100,2025-03-29 04:14
P+R Ježica,Odprto,,,2025-03-29 04:14
P+R Stanežiče,Odprto,,,2025-03-29 04:14
ŠRC Stožice,Prosto,/,509,2025-03-29 04:14
Tacen,Prosto,/,/,2025-03-29 04:14
Bratislavska,Prosto,/,/,2025-03-29 04:14
BS4,Prosto,57,100,2025-03-29 04:14
PH Rog,Prosto,27,80,2025-03-29 04:14
P+R Letališka,Odprto,,,2025-03-29 04:14
Parkirišče PH Ilirija,Odprto,,,2025-03-29 04:14
Bežigrad,Prosto,49,64,2025-03-29 04:28
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 04:28
Gosarjeva ulica,Prosto,48,190,2025-03-29 04:28
Gospodarsko razstavišče,Prosto,423,400,2025-03-29 04:28
Komanova ulica,Zasedeno,/,55,2025-03-29 04:28
PH Kongresni trg,Prosto,252,720,2025-03-29 04:28
Kozolec,Prosto,122,394,2025-03-29 04:28
Kranjčeva ulica,Prosto,105,117,2025-03-29 04:28
Linhartova,Prosto,114,50,2025-03-29 04:28
Metelkova ulica,Prosto,33,89,2025-03-29 04:28
Mirje,Prosto,91,107,2025-03-29 04:28
P+R Barje,Odprto,,,2025-03-29 04:28
P+R Dolgi Most,Odprto,,,2025-03-29 04:28
P+R Studenec,Odprto,,,2025-03-29 04:28
PH Kolezija,Prosto,64,80,2025-03-29 04:28
Pokopališče Polje,Prosto,38,39,2025-03-29 04:28
Povšetova ulica,Prosto,77,81,2025-03-29 04:28
Sanatorij Emona,Prosto,9,25,2025-03-29 04:28
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 04:28
Tivoli I.,Prosto,328,351,2025-03-29 04:28
Tivoli II.,Prosto,160,159,2025-03-29 04:28
Trg mladinskih delovnih brigad,Prosto,16,26,2025-03-29 04:28
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 04:28
Štembalova ulica,Zasedeno,/,155,2025-03-29 04:28
Žale I.,Prosto,79,125,2025-03-29 04:28
Žale II.,Prosto,53,80,2025-03-29 04:28
Žale III.,Prosto,49,83,2025-03-29 04:28
Žale IV.,Prosto,78,78,2025-03-29 04:28
Žale V.,Prosto,279,100,2025-03-29 04:28
P+R Ježica,Odprto,,,2025-03-29 04:28
P+R Stanežiče,Odprto,,,2025-03-29 04:28
ŠRC Stožice,Prosto,/,509,2025-03-29 04:28
Tacen,Prosto,/,/,2025-03-29 04:28
Bratislavska,Prosto,/,/,2025-03-29 04:28
BS4,Prosto,57,100,2025-03-29 04:28
PH Rog,Prosto,27,80,2025-03-29 04:28
P+R Letališka,Odprto,,,2025-03-29 04:28
Parkirišče PH Ilirija,Odprto,,,2025-03-29 04:28
Bežigrad,Prosto,49,64,2025-03-29 04:44
Dolenjska cesta (Strelišče),Prosto,78,67,2025-03-29 04:44
Gosarjeva ulica,Prosto,48,190,2025-03-29 04:44
Gospodarsko razstavišče,Prosto,424,400,2025-03-29 04:44
Komanova ulica,Zasedeno,/,55,2025-03-29 04:44
PH Kongresni trg,Prosto,253,720,2025-03-29 04:44
Kozolec,Prosto,122,394,2025-03-29 04:44
Kranjčeva ulica,Prosto,105,117,2025-03-29 04:44
Linhartova,Prosto,114,50,2025-03-29 04:44
Metelkova ulica,Prosto,33,89,2025-03-29 04:44
Mirje,Prosto,91,107,2025-03-29 04:44
P+R Barje,Odprto,,,2025-03-29 04:44
P+R Dolgi Most,Odprto,,,2025-03-29 04:44
P+R Studenec,Odprto,,,2025-03-29 04:44
PH Kolezija,Prosto,64,80,2025-03-29 04:44
Pokopališče Polje,Prosto,38,39,2025-03-29 04:44
Povšetova ulica,Prosto,77,81,2025-03-29 04:44
Sanatorij Emona,Prosto,9,25,2025-03-29 04:44
Slovenčeva ulica,Zasedeno,0,128,2025-03-29 04:44
Tivoli I.,Prosto,326,351,2025-03-29 04:44
Tivoli II.,Prosto,160,159,2025-03-29 04:44
Trg mladinskih delovnih brigad,Prosto,16,26,2025-03-29 04:44
Trg prekomorskih brigad,Prosto,37,61,2025-03-29 04:44
Štembalova ulica,Zasedeno,/,155,2025-03-29 04:44
Žale I.,Prosto,79,125,2025-03-29 04:44
Žale II.,Prosto,53,80,2025-03-29 04:44
Žale III.,Prosto,49,83,2025-03-29 04:44
Žale IV.,Prosto,78,78,2025-03-29 04:44
Žale V.,Prosto,279,100,2025-03-29 04:44
