Location,Status,Prosto,Na voljo,Datum
Gospodarsko razstavišče,Prosto,454,400,2025-03-17 22:04
Komanova ulica,Zasedeno,/,55,2025-03-17 22:04
PH Kongresni trg,Prosto,239,720,2025-03-17 22:04
Kozolec,Prosto,147,394,2025-03-17 22:04
Kranjčeva ulica,Prosto,83,117,2025-03-17 22:04
Linhartova,Prosto,114,50,2025-03-17 22:04
Metelkova ulica,Prosto,38,89,2025-03-17 22:04
Mirje,Prosto,92,107,2025-03-17 22:04
P+R Barje,Odprto,,,2025-03-17 22:04
P+R Dolgi Most,Odprto,,,2025-03-17 22:04
P+R Studenec,Odprto,,,2025-03-17 22:04
PH Kolezija,Prosto,72,80,2025-03-17 22:04
Pokopališče Polje,Prosto,37,39,2025-03-17 22:04
Povšetova ulica,Prosto,58,81,2025-03-17 22:04
Sanatorij Emona,Prosto,15,25,2025-03-17 22:04
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 22:04
Tivoli I.,Prosto,290,351,2025-03-17 22:04
Tivoli II.,Prosto,150,159,2025-03-17 22:04
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 22:04
Trg prekomorskih brigad,Prosto,33,61,2025-03-17 22:04
Štembalova ulica,Zasedeno,/,155,2025-03-17 22:04
Žale I.,Prosto,76,125,2025-03-17 22:04
Žale II.,Prosto,55,80,2025-03-17 22:04
Žale III.,Prosto,51,83,2025-03-17 22:04
Žale IV.,Prosto,78,78,2025-03-17 22:04
Žale V.,Prosto,285,100,2025-03-17 22:04
P+R Ježica,Odprto,,,2025-03-17 22:04
P+R Stanežiče,Odprto,,,2025-03-17 22:04
ŠRC Stožice,Prosto,/,509,2025-03-17 22:04
Tacen,Prosto,/,/,2025-03-17 22:04
Bratislavska,Prosto,/,/,2025-03-17 22:04
BS4,Prosto,30,100,2025-03-17 22:04
PH Rog,Prosto,20,80,2025-03-17 22:04
P+R Letališka,Odprto,,,2025-03-17 22:04
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 22:04
Bežigrad,Prosto,40,64,2025-03-17 22:18
Dolenjska cesta (Strelišče),Prosto,66,67,2025-03-17 22:18
Gosarjeva ulica,Prosto,41,190,2025-03-17 22:18
Gospodarsko razstavišče,Prosto,454,400,2025-03-17 22:18
Komanova ulica,Zasedeno,/,55,2025-03-17 22:18
PH Kongresni trg,Prosto,249,720,2025-03-17 22:18
Kozolec,Prosto,150,394,2025-03-17 22:18
Kranjčeva ulica,Prosto,86,117,2025-03-17 22:18
Linhartova,Prosto,114,50,2025-03-17 22:18
Metelkova ulica,Prosto,37,89,2025-03-17 22:18
Mirje,Prosto,92,107,2025-03-17 22:18
P+R Barje,Odprto,,,2025-03-17 22:18
P+R Dolgi Most,Odprto,,,2025-03-17 22:18
P+R Studenec,Odprto,,,2025-03-17 22:18
PH Kolezija,Prosto,72,80,2025-03-17 22:18
Pokopališče Polje,Prosto,36,39,2025-03-17 22:18
Povšetova ulica,Prosto,58,81,2025-03-17 22:18
Sanatorij Emona,Prosto,15,25,2025-03-17 22:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 22:18
Tivoli I.,Prosto,307,351,2025-03-17 22:18
Tivoli II.,Prosto,155,159,2025-03-17 22:18
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 22:18
Trg prekomorskih brigad,Prosto,37,61,2025-03-17 22:18
Štembalova ulica,Zasedeno,/,155,2025-03-17 22:18
Žale I.,Prosto,76,125,2025-03-17 22:18
Žale II.,Prosto,55,80,2025-03-17 22:18
Žale III.,Prosto,51,83,2025-03-17 22:18
Žale IV.,Prosto,78,78,2025-03-17 22:18
Žale V.,Prosto,285,100,2025-03-17 22:18
P+R Ježica,Odprto,,,2025-03-17 22:18
P+R Stanežiče,Odprto,,,2025-03-17 22:18
ŠRC Stožice,Prosto,/,509,2025-03-17 22:18
Tacen,Prosto,/,/,2025-03-17 22:18
Bratislavska,Prosto,/,/,2025-03-17 22:18
BS4,Prosto,42,100,2025-03-17 22:18
PH Rog,Prosto,19,80,2025-03-17 22:18
P+R Letališka,Odprto,,,2025-03-17 22:18
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 22:18
Bežigrad,Prosto,40,64,2025-03-17 22:34
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-17 22:34
Gosarjeva ulica,Prosto,41,190,2025-03-17 22:34
Gospodarsko razstavišče,Prosto,455,400,2025-03-17 22:34
Komanova ulica,Zasedeno,/,55,2025-03-17 22:34
PH Kongresni trg,Prosto,256,720,2025-03-17 22:34
Kozolec,Prosto,151,394,2025-03-17 22:34
Kranjčeva ulica,Prosto,101,117,2025-03-17 22:34
Linhartova,Prosto,114,50,2025-03-17 22:34
Metelkova ulica,Prosto,37,89,2025-03-17 22:34
Mirje,Prosto,92,107,2025-03-17 22:34
P+R Barje,Odprto,,,2025-03-17 22:34
P+R Dolgi Most,Odprto,,,2025-03-17 22:34
P+R Studenec,Odprto,,,2025-03-17 22:34
PH Kolezija,Prosto,72,80,2025-03-17 22:34
Pokopališče Polje,Prosto,37,39,2025-03-17 22:34
Povšetova ulica,Prosto,60,81,2025-03-17 22:34
Sanatorij Emona,Prosto,15,25,2025-03-17 22:34
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 22:34
Tivoli I.,Prosto,323,351,2025-03-17 22:34
Tivoli II.,Prosto,159,159,2025-03-17 22:34
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 22:34
Trg prekomorskih brigad,Prosto,39,61,2025-03-17 22:34
Štembalova ulica,Zasedeno,/,155,2025-03-17 22:34
Žale I.,Prosto,76,125,2025-03-17 22:34
Žale II.,Prosto,54,80,2025-03-17 22:34
Žale III.,Prosto,53,83,2025-03-17 22:34
Žale IV.,Prosto,78,78,2025-03-17 22:34
Žale V.,Prosto,285,100,2025-03-17 22:34
P+R Ježica,Odprto,,,2025-03-17 22:34
P+R Stanežiče,Odprto,,,2025-03-17 22:34
ŠRC Stožice,Prosto,/,509,2025-03-17 22:34
Tacen,Prosto,/,/,2025-03-17 22:34
Bratislavska,Prosto,/,/,2025-03-17 22:34
BS4,Prosto,54,100,2025-03-17 22:34
PH Rog,Prosto,19,80,2025-03-17 22:34
P+R Letališka,Odprto,,,2025-03-17 22:34
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 22:34
Bežigrad,Prosto,40,64,2025-03-17 22:48
Dolenjska cesta (Strelišče),Prosto,66,67,2025-03-17 22:48
Gosarjeva ulica,Prosto,40,190,2025-03-17 22:48
Gospodarsko razstavišče,Prosto,455,400,2025-03-17 22:48
Komanova ulica,Zasedeno,/,55,2025-03-17 22:48
PH Kongresni trg,Prosto,263,720,2025-03-17 22:48
Kozolec,Prosto,152,394,2025-03-17 22:48
Kranjčeva ulica,Prosto,105,117,2025-03-17 22:48
Linhartova,Prosto,114,50,2025-03-17 22:48
Metelkova ulica,Prosto,37,89,2025-03-17 22:48
Mirje,Prosto,92,107,2025-03-17 22:48
P+R Barje,Odprto,,,2025-03-17 22:48
P+R Dolgi Most,Odprto,,,2025-03-17 22:48
P+R Studenec,Odprto,,,2025-03-17 22:48
PH Kolezija,Prosto,72,80,2025-03-17 22:48
Pokopališče Polje,Prosto,39,39,2025-03-17 22:48
Povšetova ulica,Prosto,61,81,2025-03-17 22:48
Sanatorij Emona,Prosto,16,25,2025-03-17 22:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 22:48
Tivoli I.,Prosto,324,351,2025-03-17 22:48
Tivoli II.,Prosto,162,159,2025-03-17 22:48
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 22:48
Trg prekomorskih brigad,Prosto,42,61,2025-03-17 22:48
Štembalova ulica,Zasedeno,/,155,2025-03-17 22:48
Žale I.,Prosto,76,125,2025-03-17 22:48
Žale II.,Prosto,54,80,2025-03-17 22:48
Žale III.,Prosto,53,83,2025-03-17 22:48
Žale IV.,Prosto,78,78,2025-03-17 22:48
Žale V.,Prosto,285,100,2025-03-17 22:48
P+R Ježica,Odprto,,,2025-03-17 22:48
P+R Stanežiče,Odprto,,,2025-03-17 22:48
ŠRC Stožice,Prosto,/,509,2025-03-17 22:48
Tacen,Prosto,/,/,2025-03-17 22:48
Bratislavska,Prosto,/,/,2025-03-17 22:48
BS4,Prosto,56,100,2025-03-17 22:48
PH Rog,Prosto,19,80,2025-03-17 22:48
P+R Letališka,Odprto,,,2025-03-17 22:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 22:48
Bežigrad,Prosto,40,64,2025-03-17 23:04
Dolenjska cesta (Strelišče),Prosto,68,67,2025-03-17 23:04
Gosarjeva ulica,Prosto,40,190,2025-03-17 23:04
Gospodarsko razstavišče,Prosto,455,400,2025-03-17 23:04
Komanova ulica,Zasedeno,/,55,2025-03-17 23:04
PH Kongresni trg,Prosto,264,720,2025-03-17 23:04
Kozolec,Prosto,155,394,2025-03-17 23:04
Kranjčeva ulica,Prosto,108,117,2025-03-17 23:04
Linhartova,Prosto,114,50,2025-03-17 23:04
Metelkova ulica,Prosto,37,89,2025-03-17 23:04
Mirje,Prosto,92,107,2025-03-17 23:04
P+R Barje,Odprto,,,2025-03-17 23:04
P+R Dolgi Most,Odprto,,,2025-03-17 23:04
P+R Studenec,Odprto,,,2025-03-17 23:04
PH Kolezija,Prosto,72,80,2025-03-17 23:04
Pokopališče Polje,Prosto,39,39,2025-03-17 23:04
Povšetova ulica,Prosto,61,81,2025-03-17 23:04
Sanatorij Emona,Prosto,18,25,2025-03-17 23:04
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 23:04
Tivoli I.,Prosto,326,351,2025-03-17 23:04
Tivoli II.,Prosto,168,159,2025-03-17 23:04
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 23:04
